id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,CKVfY9,https://relay.cloud/quiet/harvest/1,Campaign page garden,True,2025-05-28 04:57:21,2025-06-22 05:58:00
2,320,SGZeEj,https://seeded.app/cobalt/lagoon/2,Roadmap update garden,True,2025-08-10 21:45:04,2025-09-07 15:46:57
3,112,2KPfnF,https://relay.cloud/mellow/uplink/3,Alert feed quartz,True,2025-12-28 13:53:37,2026-01-16 16:02:41
4,36,rf9ngM,https://relay.cloud/young/uplink/4,Demo link orbit,False,2025-02-28 00:40:20,2025-03-16 00:39:18
5,42,wkEVxn,https://hackstack.io/young/lagoon/5,Quarterly brief pioneer,False,2025-11-14 23:46:46,2025-11-22 04:10:39
6,70,5Oc9FT,https://acme.dev/cobalt/yard/6,Alert feed journey,True,2025-03-07 22:18:40,2025-05-16 14:39:26
7,166,9fd2H7,https://hackstack.io/mellow/harvest/7,Status board anchor,True,2025-06-17 15:32:44,2025-09-16 20:58:00
8,243,D74HNW,https://opswise.net/vivid/orbit/8,Campaign page beacon,False,2025-01-09 09:20:59,2026-02-15 08:58:28
9,161,SkiYp1,https://relay.cloud/harbor/yard/9,Incident notes kernel,True,2025-07-18 17:29:48,2025-09-27 14:07:23
10,134,zyCkrx,https://relay.cloud/proud/delta/10,Alert feed kernel,False,2025-07-19 02:56:57,2026-02-18 19:59:02
11,150,sw1GbU,https://seeded.app/mellow/orbit/11,Campaign page uplink,True,2026-01-28 05:50:19,2026-02-03 22:32:30
12,388,7XlNS7,https://seeded.app/tidy/trail/12,Quarterly brief meadow,True,2025-05-03 02:59:35,2025-09-07 14:51:00
13,337,dLRUQK,https://seeded.app/navy/yard/13,Demo link network,False,2025-04-08 07:52:47,2025-11-23 20:56:49
14,200,6kxCWJ,https://acme.dev/calm/anchor/14,Campaign page quartz,False,2025-04-27 03:40:08,2025-06-28 11:01:39
15,209,IOGvD0,https://seeded.app/dawn/anchor/15,Service guide island,True,2025-03-12 18:17:34,2025-08-26 18:17:14
16,42,uaQ2am,https://relay.cloud/forest/field/16,Incident notes delta,True,2025-07-23 00:32:07,2025-08-11 23:08:38
